Rank,Name,Type,Tags
170,Re:ZERO -Starting Life in Another World- Season 2,TV,action adventure drama fantasy cheats darkfantasy isekai magic personinastrangeworld psychological summonedintoanotherworld thriller timetravel basedonalightnovel explicitviolence tappeinagatsuki
171,Ascendance of a Bookworm: Part II,TV,drama fantasy apprenticeship cheats isekai magic medieval modernknowledge personinastrangeworld reincarnation basedonalightnovel
174,Steins;Gate 0,TV,drama mystery scifi psychological timetravel basedonavisualnovel violence chiyomarushikura
175,Golden Kamuy Season 3,TV,action adventure drama historical military basedonamanga violence satorunoda
176,Weathering With You,Movie,drama lifestylechange supernatural writers originalwork
177,Semantic Error,Web,bl comedy romance shounen-ai koreananimation shortepisodes basedonanovel jeosuri
178,86: Eighty-Six - Part II,TV,action drama scifi military war basedonalightnovel violence asatoasato
179,Dou Po Cangqiong 4th Season,Web,action fantasy chineseanimation xianxia basedonawebnovel cganimation silkwormpotato
180,School Babysitters,TV,comedy drama shoujo sliceoflife childcare iyashikei lifestylechange orphans schoolclub schoollife siblings basedonamanga haritokeino
181,Douluo Dalu,Web,action fantasy chineseanimation cultivation reincarnation xianxia basedonawebnovel cganimation maturethemes  suicide
182,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),Movie,drama mystery overpoweredmaincharacters supernatural basedonalightnovel druguse  explicitviolence  maturethemes kinokonasu
183,Major Season 5,TV,drama shounen sports baseball basedonamanga takuyamitsuda
184,Bungo Stray Dogs 2nd Season,TV,action mystery seinen detectives gangs guns mafia orphans supernatural superpowers basedonamanga violence kafkaasagiri
185,Maquia: When the Promised Flower Blooms,Movie,adventure drama fantasy childcare originalwork violence
186,Steins;Gate: Egoistic Poriomania,DVD S,comedy scifi america basedonavisualnovel
187,Mushishi,TV,fantasy seinen episodic iyashikei supernatural basedonamanga yukiurushibara
188,The Stranger by the Shore,Movie,bl romance yaoi adultcouples cohabitation deathofalovedone island lgbtthemes matureromance orphans writers basedonamanga explicitsex
189,One Piece Movie 10: Strong World,Movie,action adventure fantasy shounen island pirates superpowers basedonamanga eiichirooda
190,Food Wars! The Third Plate,TV,comedy ecchi shounen boardinghouse cooking culinaryschool foodandbeverage neighbors schoollife tournaments basedonamanga yuutotsukuda
191,Kuroko's Basketball: Last Game,Movie,shounen sports basketball basedonamanga
192,Tengen Toppa Gurren Lagann,TV,action adventure comedy mecha scifi combiningmecha post-apocalyptic superrobot originalwork violence
193,Kamisama Kiss,TV,comedy fantasy romance shoujo animalcharacteristics gods interspeciesrelationship japanesemythology master-servantrelationship non-humanprotagonists youkai basedonamanga juliettasuzuki
194,Moriarty the Patriot,TV,mystery shounen 19thcentury detectives england europe historical sherlockholmes basedonamanga ryosuketakeuchi
195,Kuroko's Basketball: The Greatest Present,DVD S,shounen sports basketball basedonamanga tadatoshifujimaki
196,Kaguya-sama: Love Is War,TV,comedy drama romance seinen episodic loveconfession mindgames romanticcomedy schoollife studentcouncil basedonamanga akaakasaka
197,Food Wars! Shokugeki no Souma,TV,comedy ecchi shounen animeism boardinghouse cooking culinaryschool foodandbeverage neighbors schoollife basedonamanga yuutotsukuda
198,Mushoku Tensei: Jobless Reincarnation,TV,action adventure fantasy romance demons isekai magic neet personinastrangeworld reincarnation basedonalightnovel bullying  maturethemes  sexualcontent  violence
199,Snow White with the Red Hair 2nd Season,TV,drama fantasy romance shoujo adultcouples matureromance medical medieval royalty socialgap basedonamanga sorataakizuki
200,JoJo's Bizarre Adventure: Stardust Crusaders,TV,action adventure shounen monster-of-the-week proxybattles supernatural basedonamanga animalabuse  explicitviolence  maturethemes hirohikoaraki
203,No Game No Life,TV,adventure ecchi fantasy highstakesgames isekai neet overpoweredmaincharacters personinastrangeworld pvp royalty siblings basedonalightnovel
204,Chihayafuru 2,TV,drama josei romance sports lovetriangle schoolclub schoollife tournaments basedonamanga yukisuetsugu
205,Gintama: Yorinuki Gintama-san on Theater 2D,Other,action comedy drama scifi shounen aliens crude feudaljapan parody samurai swordplay basedonamanga hideakisorachi
207,The Quintessential Quintuplets 2,TV,comedy drama harem romance shounen schoollife siblings tutors basedonamanga negiharuba
209,Yuri!!! on Ice: Welcome to The Madness,DVD S,sports iceskating originalwork
210,My Neighbor Totoro,Movie,fantasy sliceoflife contemporaryfantasy countryside familyfriendly familylife japanesemythology non-humanprotagonists siblings originalwork
211,Food Wars! The Third Plate: Totsuki Train Arc,TV,comedy ecchi shounen cooking culinaryschool foodandbeverage schoollife tournaments basedonamanga yuutotsukuda
212,Anohana: The Flower We Saw That Day,TV,drama romance childhoodfriends comingofage deathofalovedone ghosts melancholy noitamina supernatural unrequitedlove originalwork
214,Fate/stay night: Unlimited Blade Works 2,TV,action fantasy contemporaryfantasy magic proxybattles superpowers urbanfantasy basedonaneroge basedonavisualnovel violence
215,Fate/stay night: Heaven's Feel II. lost butterfly,Movie,action fantasy romance magic superpowers basedonaneroge basedonavisualnovel emotionalabuse  maturethemes  physicalabuse  sexualabuse  sexualcontent  violence
217,Kuroko's Basketball,TV,shounen sports basketball schoolclub tournaments basedonamanga tadatoshifujimaki
218,Naruto Shippuden,TV,action drama fantasy shounen handtohandcombat ninja revenge basedonamanga masashikishimoto
219,Maid-sama!,TV,comedy romance shoujo maids newlyco-edschool romanticcomedy schoollife tsundere basedonamanga hirofujiwara
220,Fairy Tail: Final Season,TV,action adventure comedy fantasy shounen guilds magic basedonamanga hiromashima
221,Scissor Seven 3rd Season,Web,action comedy assassins chineseanimation
222,Fairy Tail 2,TV,action adventure comedy fantasy shounen guilds magic basedonamanga hiromashima
